Income,LoanAmount,CreditScore,InterestRate,Education,EmploymentType,HasMortgage,HasDependents,LoanPurpose,Default
86906,187097,470,7.56,High School,Unemployed,Yes,Yes,Other,0
63479,178555,605,7.47,High School,Full-time,No,Yes,Home,0
40178,177706,354,11.07,High School,Part-time,No,Yes,Auto,0
131078,83020,445,21.36,PhD,Self-employed,Yes,No,Other,0
134733,101467,322,12.04,Bachelor's,Self-employed,Yes,No,Business,0
116431,102407,553,20.7,PhD,Self-employed,Yes,Yes,Other,0
74728,160032,595,16.42,PhD,Self-employed,No,No,Home,0
128994,96336,385,9.83,High School,Self-employed,No,Yes,Business,0
94835,151621,430,23.78,Master's,Unemployed,Yes,No,Other,0
95992,227529,822,3.85,PhD,Full-time,No,Yes,Auto,0
98942,111838,445,4.67,PhD,Self-employed,Yes,Yes,Other,0
69634,161174,412,13.23,High School,Full-time,No,Yes,Auto,0
115340,36359,502,13.13,High School,Part-time,Yes,No,Auto,0
93657,6398,829,14.91,High School,Self-employed,Yes,Yes,Other,0
48023,191859,410,22.29,Bachelor's,Full-time,No,No,Auto,1
130598,104078,331,8.77,High School,Self-employed,Yes,Yes,Other,0
80102,234600,637,4.17,Bachelor's,Self-employed,Yes,Yes,Home,0
118191,128582,317,13.86,Master's,Self-employed,No,Yes,Home,0
139941,23043,753,16.03,High School,Unemployed,No,No,Business,0
135652,116091,700,5.74,PhD,Self-employed,Yes,No,Home,0
100641,238482,763,6.83,Bachelor's,Part-time,No,No,Home,0
126682,75616,839,5.37,High School,Self-employed,Yes,No,Business,1
65629,159980,729,24.11,Bachelor's,Unemployed,No,Yes,Business,0
107200,39691,620,7.05,Master's,Unemployed,No,Yes,Business,0
71068,228149,390,24.06,Master's,Part-time,Yes,Yes,Education,1
72996,234970,436,20.91,High School,Full-time,Yes,Yes,Auto,0
112826,99606,431,5.72,Bachelor's,Self-employed,Yes,Yes,Other,0
138725,211149,537,17.12,Bachelor's,Self-employed,Yes,No,Business,1
121318,141938,791,2.09,PhD,Unemployed,No,No,Business,0
55224,142427,318,14.8,High School,Self-employed,No,No,Home,1
140425,31746,771,20.21,High School,Unemployed,No,No,Home,0
84449,59914,332,13.79,PhD,Full-time,No,Yes,Home,0
64006,82148,751,23.34,High School,Unemployed,Yes,Yes,Education,0
121937,158466,431,19.61,PhD,Self-employed,Yes,No,Other,0
114763,93845,694,9.53,PhD,Full-time,Yes,Yes,Auto,0
29711,20898,502,20.33,PhD,Part-time,Yes,No,Education,0
103900,155995,565,3.69,Bachelor's,Unemployed,Yes,No,Business,0
146430,170776,741,10.63,Bachelor's,Part-time,Yes,No,Auto,0
82544,38261,817,12.68,PhD,Unemployed,Yes,Yes,Home,0
76905,166321,821,12.16,PhD,Full-time,Yes,Yes,Home,0
138058,175572,786,19.48,PhD,Unemployed,No,Yes,Home,0
140849,136544,481,2.46,Master's,Unemployed,Yes,Yes,Education,0
83724,55171,359,7.18,PhD,Full-time,No,Yes,Education,0
53071,39500,669,2.8,Bachelor's,Self-employed,No,Yes,Other,0
103356,22510,337,4.75,Bachelor's,Unemployed,Yes,Yes,Education,0
58624,135182,830,24.39,PhD,Unemployed,Yes,Yes,Auto,1
125018,10156,753,15.81,High School,Full-time,No,No,Business,0
33150,232491,341,7.82,Master's,Full-time,No,Yes,Business,0
24308,49337,337,5.18,High School,Part-time,Yes,Yes,Home,1
62526,160018,843,23.97,Master's,Part-time,Yes,No,Business,0
68255,93635,416,12.55,High School,Full-time,No,Yes,Home,1
53811,110638,764,2.48,Bachelor's,Full-time,Yes,Yes,Home,0
95317,79749,565,17.02,High School,Full-time,No,No,Home,0
124621,236280,431,9.36,High School,Part-time,Yes,No,Education,0
57318,170263,654,4.94,Bachelor's,Unemployed,No,No,Auto,1
76811,11203,837,16.65,Master's,Part-time,Yes,Yes,Home,0
19089,48764,436,19.48,Bachelor's,Unemployed,No,No,Education,0
141004,225549,591,5.54,PhD,Full-time,No,No,Business,0
109568,63963,696,7.89,Bachelor's,Part-time,No,Yes,Home,0
49256,177189,819,4.21,Master's,Part-time,No,Yes,Auto,0
72924,184111,436,9.49,PhD,Full-time,No,No,Education,0
68676,126598,754,19.22,Bachelor's,Self-employed,No,No,Other,0
144721,204519,820,5.44,Master's,Full-time,No,Yes,Home,0
82549,115774,597,24.81,Master's,Self-employed,No,No,Home,0
31168,74979,471,11.55,High School,Self-employed,No,Yes,Home,0
67664,135809,409,19.83,PhD,Full-time,No,No,Other,0
58777,29343,454,7.88,Bachelor's,Part-time,No,No,Business,0
73165,60679,525,23.89,PhD,Self-employed,Yes,No,Other,1
108050,77616,739,9.01,High School,Part-time,Yes,No,Other,0
94732,54177,638,3.93,Master's,Part-time,Yes,Yes,Business,0
65404,191257,386,10.65,Master's,Unemployed,No,No,Home,0
92540,162831,832,23.5,Bachelor's,Unemployed,No,No,Home,0
63197,230307,357,7.64,PhD,Part-time,No,Yes,Other,0
95873,84266,731,16.58,Bachelor's,Full-time,Yes,Yes,Education,0
116971,236465,742,11.62,PhD,Full-time,No,No,Other,0
32420,107779,382,12.25,Master's,Part-time,Yes,No,Home,1
80059,143937,500,23.32,Master's,Full-time,No,No,Other,1
77962,141404,703,24.24,Master's,Part-time,Yes,No,Home,1
119838,23346,706,5.45,PhD,Unemployed,Yes,No,Home,0
75128,183678,820,19.92,Bachelor's,Full-time,No,No,Auto,0
75774,147747,403,17.56,Master's,Self-employed,Yes,Yes,Auto,0
36297,11188,392,3.44,Bachelor's,Full-time,No,Yes,Education,0
65085,116909,303,14.06,PhD,Part-time,Yes,No,Home,0
142185,158331,794,22.71,Bachelor's,Self-employed,Yes,Yes,Business,0
43195,43772,583,10.38,Master's,Unemployed,Yes,Yes,Education,1
130406,91293,526,11.81,High School,Part-time,Yes,Yes,Business,0
91049,246974,539,15.91,Bachelor's,Full-time,No,Yes,Auto,0
25994,78077,433,22.79,PhD,Part-time,Yes,No,Education,1
60062,77909,393,13.55,High School,Part-time,Yes,Yes,Auto,0
103617,98922,530,21.01,Bachelor's,Unemployed,Yes,Yes,Education,1
144569,234146,727,19.36,Bachelor's,Unemployed,No,Yes,Business,0
75759,9264,596,8.67,Bachelor's,Part-time,Yes,Yes,Business,0
146447,6950,546,3.75,Master's,Part-time,No,No,Auto,0
131208,53121,477,10.77,High School,Part-time,No,No,Education,0
75889,119071,848,5.3,Bachelor's,Full-time,No,Yes,Home,0
75743,98434,420,4.31,Master's,Unemployed,No,No,Other,0
69362,189608,350,11.08,Master's,Full-time,Yes,No,Auto,0
39230,142699,761,18.22,PhD,Part-time,Yes,Yes,Auto,0
88943,172845,550,4.61,PhD,Full-time,No,Yes,Education,0
131027,103934,813,13.76,High School,Self-employed,Yes,No,Home,0
19179,229596,749,20.15,Master's,Part-time,No,Yes,Other,0
115936,21219,757,24.71,Master's,Part-time,No,Yes,Other,0
49415,190055,808,16.77,PhD,Self-employed,No,Yes,Other,0
40472,242898,733,17.46,PhD,Full-time,Yes,Yes,Education,0
23493,248424,782,22.67,High School,Full-time,No,Yes,Auto,0
109876,189219,756,16.26,Master's,Part-time,Yes,No,Home,0
52478,89761,822,4.99,PhD,Self-employed,No,No,Business,0
67638,183761,608,5.5,Master's,Self-employed,Yes,No,Home,0
148872,50487,490,15.79,Master's,Full-time,Yes,Yes,Education,0
76211,56925,806,8.72,High School,Full-time,Yes,No,Education,0
122876,141315,847,23.24,High School,Unemployed,Yes,Yes,Auto,0
67998,160331,449,16.8,High School,Unemployed,Yes,Yes,Auto,0
29055,27994,400,13.38,High School,Unemployed,No,Yes,Auto,1
25509,28626,715,17.54,Bachelor's,Full-time,Yes,No,Education,0
62853,57864,450,22.46,High School,Self-employed,Yes,No,Business,0
80385,67064,522,22.08,High School,Self-employed,Yes,Yes,Other,0
105036,240383,660,15.38,High School,Unemployed,No,No,Other,0
120595,179184,639,23.14,High School,Part-time,No,No,Home,1
18693,199165,652,17.83,Bachelor's,Part-time,No,No,Other,0
103980,88976,542,24.82,PhD,Unemployed,Yes,Yes,Business,0
111633,71787,379,16.22,High School,Self-employed,Yes,No,Auto,0
129830,34291,759,12.19,Master's,Self-employed,Yes,Yes,Education,0
136233,226257,376,19.21,PhD,Part-time,Yes,Yes,Business,0
144719,78844,363,10.58,Bachelor's,Part-time,Yes,Yes,Other,0
53577,194107,328,16.55,Bachelor's,Full-time,Yes,No,Business,0
27257,167768,648,6.72,PhD,Unemployed,No,Yes,Home,0
114861,112863,424,7.16,Bachelor's,Part-time,No,No,Auto,0
76832,247348,435,9.25,High School,Unemployed,No,Yes,Business,0
28463,56824,561,12.37,PhD,Part-time,Yes,No,Home,0
25075,168540,402,19.52,High School,Full-time,No,No,Home,0
103619,78192,632,20.33,PhD,Self-employed,No,No,Education,0
43267,149026,340,23.6,Master's,Full-time,Yes,No,Business,0
140747,139978,429,18.78,Master's,Part-time,No,Yes,Other,0
49258,137926,775,11.11,PhD,Self-employed,No,Yes,Business,0
59975,171728,438,21.99,High School,Part-time,No,No,Other,1
36261,155717,720,12.25,High School,Full-time,Yes,No,Home,0
61359,209254,630,4.43,Bachelor's,Part-time,Yes,No,Business,0
38320,87691,776,7.75,PhD,Self-employed,No,Yes,Business,1
44222,75017,506,3.28,PhD,Full-time,No,Yes,Business,0
77665,138686,361,10.82,High School,Full-time,Yes,No,Home,1
142501,213915,476,9.55,Master's,Part-time,No,Yes,Home,0
95951,177196,438,19.01,High School,Unemployed,Yes,Yes,Home,0
128310,29172,362,8.96,Bachelor's,Full-time,Yes,Yes,Home,0
74089,201642,539,8.07,Bachelor's,Full-time,Yes,No,Education,0
112168,25902,307,4.13,Master's,Part-time,No,Yes,Business,0
126409,141253,425,21.43,Bachelor's,Part-time,Yes,No,Other,0
24802,161998,628,2.48,PhD,Self-employed,Yes,No,Auto,1
16450,118462,489,5.57,PhD,Unemployed,No,Yes,Other,0
20018,38866,537,6.39,PhD,Full-time,No,Yes,Education,0
135500,126151,588,15.13,Bachelor's,Self-employed,Yes,Yes,Business,0
127790,235621,672,14.05,PhD,Part-time,Yes,No,Auto,1
114211,42957,826,13.18,Bachelor's,Full-time,No,Yes,Business,0
138675,61465,563,21.6,Master's,Full-time,Yes,Yes,Auto,0
107819,228972,555,24.51,Master's,Full-time,No,Yes,Auto,1
132895,233324,843,6.42,Master's,Part-time,Yes,No,Other,0
72859,65779,843,21.9,High School,Full-time,Yes,Yes,Education,0
30770,32402,743,22.05,High School,Full-time,No,No,Education,0
95678,248468,490,3.71,High School,Unemployed,Yes,No,Other,0
77175,56374,798,17.99,Master's,Self-employed,No,No,Education,0
112639,159388,385,19.17,High School,Self-employed,No,Yes,Business,1
148200,24634,762,14.63,High School,Unemployed,Yes,No,Education,0
83136,88509,588,9.97,PhD,Part-time,Yes,No,Home,0
117917,52849,369,20.17,PhD,Part-time,No,No,Auto,0
105781,167752,468,3.08,Bachelor's,Self-employed,Yes,No,Business,1
89091,130518,681,21.22,PhD,Full-time,No,No,Auto,0
133731,92688,829,10.61,PhD,Full-time,No,No,Education,0
54341,140303,317,11.28,High School,Unemployed,No,Yes,Education,0
130708,188249,732,13.36,PhD,Unemployed,No,Yes,Home,0
100089,83895,637,4.29,Master's,Unemployed,Yes,Yes,Auto,0
139582,171284,409,3.18,PhD,Full-time,Yes,Yes,Home,0
64258,74037,562,16.36,Bachelor's,Self-employed,Yes,Yes,Education,0
26154,30928,570,21.13,PhD,Part-time,No,Yes,Auto,0
30582,121430,507,12.85,High School,Self-employed,Yes,Yes,Auto,0
130623,214191,609,3.15,PhD,Unemployed,No,Yes,Other,0
27148,14672,710,19.1,Master's,Self-employed,No,Yes,Business,0
148151,145388,552,24.02,Master's,Unemployed,Yes,Yes,Business,0
122202,156599,428,11.38,Bachelor's,Self-employed,Yes,Yes,Business,0
64072,163253,421,12.92,High School,Self-employed,Yes,No,Education,0
74255,211288,727,22.51,Master's,Full-time,Yes,No,Business,0
36235,73386,843,3.79,Bachelor's,Unemployed,No,Yes,Auto,0
100064,33610,487,7.82,Bachelor's,Part-time,No,Yes,Education,0
92113,154141,440,15.18,Master's,Unemployed,Yes,No,Business,0
98226,30438,703,23.52,High School,Self-employed,Yes,No,Home,0
76583,52609,380,17.95,PhD,Self-employed,No,No,Auto,0
105502,228190,540,14.14,Master's,Unemployed,No,No,Home,0
76339,228665,593,17.09,Bachelor's,Part-time,Yes,No,Business,1
103297,129908,349,17.74,Master's,Part-time,No,Yes,Auto,0
22284,210181,649,17.58,High School,Part-time,No,No,Other,1
104394,214362,547,19.93,Bachelor's,Full-time,Yes,No,Education,0
114273,221263,658,24.7,Bachelor's,Self-employed,Yes,No,Business,0
44333,221956,434,16.72,PhD,Full-time,Yes,Yes,Other,0
17114,21584,660,6.26,Master's,Full-time,Yes,Yes,Home,0
56011,134009,357,8.6,PhD,Unemployed,No,No,Business,0
115077,222896,524,21.81,Bachelor's,Unemployed,No,Yes,Home,0
138501,242460,587,16.73,High School,Full-time,Yes,Yes,Education,0
55028,198187,793,5.67,High School,Part-time,Yes,Yes,Education,0
109528,209681,628,19.83,High School,Unemployed,No,Yes,Other,0
38660,149975,406,20.83,Master's,Self-employed,No,Yes,Education,0
76208,59806,363,14.96,Bachelor's,Self-employed,Yes,No,Business,0
15395,149569,663,21.37,Bachelor's,Self-employed,Yes,No,Education,0
124149,181279,516,16.87,Master's,Part-time,Yes,No,Education,0
52901,33035,415,23.77,PhD,Self-employed,No,Yes,Education,0
23640,134358,469,18.37,Bachelor's,Unemployed,Yes,Yes,Home,0
30749,168691,427,24.33,Master's,Part-time,Yes,No,Auto,1
38069,36935,704,13.16,PhD,Self-employed,No,Yes,Home,0
62865,52742,535,8.04,Bachelor's,Unemployed,No,Yes,Business,0
127384,13701,396,23.12,PhD,Part-time,No,Yes,Business,0
54168,48431,583,6.73,PhD,Part-time,Yes,No,Other,0
27452,163857,315,19.37,High School,Part-time,Yes,Yes,Auto,1
144530,35838,433,2.5,PhD,Unemployed,No,Yes,Auto,0
129860,27557,827,15.65,PhD,Unemployed,Yes,Yes,Other,0
113011,136350,693,17.63,High School,Unemployed,No,No,Education,0
101607,123907,338,24.66,Bachelor's,Full-time,No,No,Education,0
95479,86191,363,15.83,High School,Full-time,Yes,No,Home,0
36573,168944,382,20.69,High School,Full-time,No,No,Home,0
17516,204172,661,23.68,Master's,Unemployed,No,No,Home,1
127154,80252,678,12.62,Bachelor's,Part-time,No,No,Other,0
126903,106541,497,15.98,Master's,Unemployed,Yes,Yes,Home,0
144353,224800,782,2.06,High School,Self-employed,No,Yes,Education,0
107567,85578,397,16.86,PhD,Part-time,Yes,Yes,Other,0
44586,106769,833,5.85,Bachelor's,Part-time,Yes,Yes,Education,1
106788,44781,575,19.57,PhD,Full-time,Yes,No,Home,0
102229,245357,651,3.02,Bachelor's,Part-time,No,Yes,Other,0
127184,54495,720,5.04,Master's,Self-employed,No,Yes,Home,0
123973,129789,755,21.34,Master's,Self-employed,No,No,Home,0
42150,102088,430,3.39,Master's,Unemployed,Yes,No,Other,0
122508,246462,545,12.6,Bachelor's,Self-employed,No,Yes,Business,0
100877,55224,626,5.01,Bachelor's,Part-time,Yes,Yes,Other,0
110086,187615,685,16.88,Master's,Full-time,No,Yes,Home,0
109192,122511,575,17.63,Master's,Full-time,No,Yes,Other,0
50343,66897,489,10.54,PhD,Full-time,Yes,Yes,Education,0
80144,121657,408,16.32,PhD,Self-employed,No,Yes,Other,0
123209,116361,462,3.05,Master's,Part-time,Yes,Yes,Education,0
118994,129059,465,16.97,High School,Part-time,No,Yes,Business,0
144254,192373,407,21.85,Bachelor's,Self-employed,Yes,Yes,Other,0
149713,186304,430,16.64,High School,Full-time,No,No,Auto,0
34562,134223,400,11.26,PhD,Full-time,No,No,Other,0
143352,203981,803,22.85,PhD,Self-employed,No,Yes,Education,0
88076,14313,664,7.03,Bachelor's,Full-time,Yes,Yes,Education,0
123142,206362,698,6.06,Master's,Unemployed,Yes,No,Other,0
101018,144482,566,17.73,Bachelor's,Full-time,Yes,No,Auto,0
124598,52272,363,4.87,Bachelor's,Self-employed,No,Yes,Home,0
75884,132417,641,18.55,Bachelor's,Part-time,Yes,No,Other,0
100253,243471,725,16.29,Bachelor's,Part-time,No,No,Auto,0
116364,44163,799,18.69,Bachelor's,Full-time,No,No,Auto,0
35571,60797,519,12.67,PhD,Unemployed,No,Yes,Other,1
77183,20668,347,14.06,High School,Full-time,Yes,Yes,Home,0
99690,238686,809,7.73,PhD,Part-time,Yes,Yes,Business,0
38664,216440,664,8.47,High School,Part-time,No,Yes,Business,0
126805,199402,461,12.08,High School,Self-employed,Yes,Yes,Business,0
58401,47677,530,15.28,Master's,Full-time,No,No,Home,0
92822,72832,551,16.44,High School,Full-time,No,Yes,Business,0
28425,71713,331,14.61,PhD,Full-time,No,Yes,Education,0
25743,66367,656,16.15,High School,Self-employed,No,No,Education,0
26144,173990,797,4.44,Master's,Full-time,Yes,No,Home,0
32348,175349,576,21.86,Master's,Self-employed,Yes,No,Education,0
41201,167292,818,5.3,PhD,Full-time,No,No,Education,0
22470,209325,779,17.64,PhD,Self-employed,Yes,Yes,Business,0
111585,92261,360,17.57,PhD,Self-employed,No,Yes,Home,0
73628,59170,532,11.24,Master's,Self-employed,No,Yes,Other,0
130295,149284,309,21.45,Master's,Part-time,No,Yes,Auto,0
103281,57931,421,19.81,Master's,Self-employed,Yes,No,Education,0
34666,159991,694,5.24,PhD,Part-time,Yes,No,Business,0
74532,143790,676,7.58,Bachelor's,Full-time,Yes,Yes,Home,0
53684,53201,796,12.9,PhD,Self-employed,No,No,Education,0
115769,121197,770,22.57,Bachelor's,Self-employed,Yes,No,Auto,0
104835,238177,374,14.11,Master's,Full-time,No,Yes,Education,0
33784,155426,760,19.23,Master's,Unemployed,Yes,No,Other,0
90220,157421,603,16.17,Master's,Unemployed,Yes,Yes,Education,0
148552,220047,759,2.3,PhD,Part-time,Yes,No,Home,0
143843,38337,554,18.72,Bachelor's,Unemployed,Yes,Yes,Education,0
37308,75809,327,20.11,Bachelor's,Part-time,Yes,Yes,Other,0
23239,194250,743,6.76,Bachelor's,Unemployed,Yes,Yes,Education,0
108522,239246,464,4.25,High School,Unemployed,Yes,No,Auto,0
112226,34559,721,3.18,Bachelor's,Full-time,No,Yes,Auto,1
66134,130175,790,7.25,PhD,Part-time,No,Yes,Business,0
62468,154677,452,4.92,Bachelor's,Unemployed,Yes,No,Other,0
69574,44786,620,19.81,High School,Full-time,No,No,Education,0
136459,177623,778,24.29,Bachelor's,Unemployed,No,Yes,Education,1
66249,57565,703,9.26,Master's,Self-employed,No,No,Auto,0
78466,15086,390,14.1,Bachelor's,Self-employed,No,No,Other,0
23852,149643,746,9.52,PhD,Unemployed,No,Yes,Home,0
64164,171559,321,13.36,Bachelor's,Self-employed,Yes,No,Other,0
17616,218707,705,2.42,PhD,Self-employed,No,No,Home,1
98186,60094,541,8.77,Master's,Part-time,No,Yes,Business,0
76755,167906,349,12.79,PhD,Self-employed,Yes,Yes,Business,0
20925,193027,796,8.53,PhD,Unemployed,Yes,No,Home,1
50994,165566,370,2.76,Master's,Unemployed,Yes,No,Home,0
122518,163801,622,5.03,Master's,Self-employed,Yes,No,Other,0
72500,128505,375,24.01,PhD,Unemployed,Yes,Yes,Home,1
94500,208048,549,13.69,PhD,Full-time,Yes,No,Other,0
74719,155733,367,12.08,Master's,Self-employed,Yes,No,Home,0
79621,166086,643,12.38,High School,Self-employed,No,Yes,Auto,0
91016,237472,630,11.42,High School,Part-time,No,Yes,Education,0
41003,79551,508,8.27,PhD,Self-employed,Yes,Yes,Education,0
75108,161327,801,23.64,PhD,Part-time,Yes,Yes,Education,0
128859,26032,467,16.17,High School,Unemployed,No,No,Auto,0
61727,238921,603,21.92,High School,Self-employed,Yes,No,Business,0
145228,10941,746,4.63,PhD,Self-employed,No,No,Business,0
51186,113494,569,22.14,High School,Full-time,No,Yes,Education,0
87039,8731,488,10.6,PhD,Self-employed,No,Yes,Home,0
23993,90831,435,12.49,Master's,Unemployed,No,No,Business,1
93971,181940,572,10.99,PhD,Part-time,No,Yes,Auto,0
22562,176540,502,24.26,High School,Unemployed,Yes,Yes,Other,0
34696,216977,338,10.06,PhD,Self-employed,No,No,Education,0
123436,88304,412,15.09,High School,Part-time,Yes,Yes,Education,0
113254,151129,334,22.11,PhD,Full-time,No,No,Business,0
53931,51702,830,16.05,PhD,Unemployed,Yes,Yes,Auto,1
46144,85337,305,12.39,PhD,Self-employed,No,No,Auto,0
106887,59125,786,24.51,Master's,Part-time,Yes,Yes,Home,0
100291,215398,734,2.11,Bachelor's,Self-employed,Yes,No,Education,0
84504,121882,521,6.9,Master's,Full-time,No,No,Home,0
106803,17346,313,2.01,PhD,Unemployed,No,Yes,Auto,0
28829,133356,757,12.29,PhD,Unemployed,No,Yes,Education,0
118643,77712,634,24.11,PhD,Part-time,Yes,No,Business,0
18071,188025,444,12.95,High School,Self-employed,Yes,Yes,Education,0
38729,196760,696,21.84,PhD,Full-time,No,No,Education,0
121208,14541,493,19.37,High School,Full-time,Yes,No,Education,0
16781,65413,344,14.9,PhD,Self-employed,No,No,Education,0
143850,33749,514,22.63,PhD,Full-time,No,Yes,Education,0
100811,37304,382,4.53,Bachelor's,Self-employed,No,Yes,Home,0
82659,237468,596,5.8,PhD,Full-time,Yes,Yes,Business,0
28068,19107,401,9.58,High School,Part-time,No,Yes,Business,0
106234,139692,376,17.79,Bachelor's,Part-time,Yes,No,Other,0
95071,107709,689,10,Bachelor's,Unemployed,No,No,Education,0
32702,14494,676,20.28,Master's,Unemployed,No,No,Education,0
144582,88454,804,12.82,High School,Unemployed,Yes,Yes,Education,0
100434,150659,538,18.03,Master's,Self-employed,No,Yes,Auto,0
146424,221810,359,13.02,High School,Part-time,No,No,Auto,0
128017,51769,410,8.59,Master's,Full-time,Yes,No,Business,0
73545,88386,345,4.96,PhD,Self-employed,No,Yes,Auto,0
66435,121632,403,19.68,Master's,Self-employed,Yes,Yes,Education,0
31719,56771,573,22.18,Bachelor's,Full-time,Yes,No,Education,0
24799,6835,564,3.77,Bachelor's,Unemployed,Yes,No,Home,0
120539,112907,456,8.66,High School,Unemployed,No,No,Auto,0
78448,222243,504,8.07,Bachelor's,Full-time,No,No,Other,1
121310,72663,688,5.51,High School,Part-time,No,Yes,Auto,0
107253,127133,529,8.09,Master's,Unemployed,No,No,Business,0
34720,148073,317,16.42,Bachelor's,Self-employed,Yes,No,Home,0
28352,247360,534,11.54,PhD,Full-time,Yes,No,Other,0
104647,162934,310,17.76,Bachelor's,Part-time,Yes,No,Education,0
74817,134930,473,17.01,High School,Full-time,Yes,Yes,Home,0
49684,66717,721,9.1,Bachelor's,Full-time,No,No,Business,0
144588,48107,594,18.97,Master's,Self-employed,Yes,Yes,Auto,0
46295,108557,364,9.23,PhD,Part-time,Yes,No,Auto,0
15379,227469,581,4.11,Master's,Part-time,No,Yes,Business,0
55500,159134,791,14.57,PhD,Self-employed,No,No,Home,0
103732,69297,825,2.26,Master's,Self-employed,Yes,Yes,Education,0
70150,43529,580,8.55,High School,Full-time,No,Yes,Other,0
108106,240435,645,16.25,Master's,Part-time,Yes,No,Education,0
100057,43074,712,18.46,High School,Full-time,Yes,Yes,Auto,0
117495,105166,626,4.33,PhD,Part-time,No,Yes,Education,0
136842,170913,414,8.74,Bachelor's,Full-time,Yes,Yes,Education,0
22100,173241,770,6.71,Master's,Full-time,No,No,Home,0
18776,137526,552,22.26,Master's,Self-employed,Yes,Yes,Education,1
40329,202310,369,6.03,High School,Part-time,Yes,No,Auto,0
79097,194031,605,10.3,Bachelor's,Unemployed,No,Yes,Business,0
73473,70911,421,23.62,PhD,Self-employed,No,No,Education,0
118767,241073,582,10.33,High School,Self-employed,Yes,Yes,Home,0
122013,33402,438,10.44,Bachelor's,Self-employed,No,Yes,Business,0
140333,202834,700,18.69,PhD,Unemployed,No,Yes,Education,0
36416,245246,655,15.26,Bachelor's,Part-time,Yes,Yes,Business,0
87109,133179,819,10.22,Bachelor's,Self-employed,No,Yes,Other,0
27326,119236,386,3.68,PhD,Full-time,No,Yes,Home,0
25173,87912,841,6.2,PhD,Full-time,No,No,Auto,0
46355,21938,701,13.91,High School,Full-time,No,Yes,Home,0
137484,89053,767,7.06,PhD,Part-time,No,No,Other,0
37230,198667,645,16.7,High School,Self-employed,Yes,No,Other,0
18752,230524,418,6.15,PhD,Unemployed,No,No,Home,0
104762,68795,315,17.3,PhD,Unemployed,No,Yes,Business,0
82480,9492,321,9.08,PhD,Part-time,No,No,Business,1
32289,182579,491,10.3,Bachelor's,Full-time,No,No,Education,0
29146,151133,826,11.49,Master's,Full-time,Yes,No,Education,0
93135,114469,793,17.62,Bachelor's,Part-time,Yes,No,Other,0
106359,150493,370,15.91,High School,Full-time,Yes,No,Home,0
129157,168153,839,23.78,PhD,Self-employed,No,No,Education,1
120774,195334,670,6.69,High School,Unemployed,No,No,Business,0
146313,215531,354,3.47,PhD,Self-employed,No,No,Other,0
48646,102238,550,4.55,Bachelor's,Part-time,No,Yes,Home,0
122648,109799,644,20.9,Bachelor's,Full-time,No,No,Home,0
127222,201361,314,10.59,Bachelor's,Full-time,Yes,Yes,Auto,1
45019,248086,690,9.22,High School,Full-time,Yes,No,Auto,0
52224,231241,487,16.7,PhD,Self-employed,Yes,Yes,Auto,0
25394,69336,662,22.31,High School,Part-time,Yes,No,Education,0
148768,80600,566,16.55,High School,Self-employed,Yes,Yes,Home,0
76991,157030,412,11.49,Bachelor's,Part-time,No,Yes,Home,0
69537,212108,506,12.87,PhD,Unemployed,No,Yes,Other,0
107894,42201,332,22.66,Bachelor's,Part-time,No,No,Other,0
90348,27714,795,6.78,Bachelor's,Self-employed,No,Yes,Education,0
101379,28538,793,18.16,Master's,Self-employed,Yes,No,Auto,0
121133,58159,598,15.05,PhD,Self-employed,Yes,No,Education,0
115008,177011,849,13.03,Master's,Self-employed,No,No,Home,0
95685,199460,571,2.45,Master's,Part-time,Yes,Yes,Other,0
63688,177471,355,13.69,High School,Unemployed,Yes,No,Business,1
127492,221130,444,12.5,Master's,Full-time,Yes,Yes,Home,0
124024,108810,444,22.81,Bachelor's,Part-time,Yes,Yes,Home,0
55097,159591,378,20.76,Bachelor's,Self-employed,Yes,No,Auto,0
133863,119155,405,7.76,Bachelor's,Self-employed,Yes,No,Business,0
114983,207468,369,20.34,Master's,Full-time,No,No,Auto,0
66358,93043,818,5.51,Master's,Part-time,No,No,Home,0
55032,170576,412,20.48,Bachelor's,Part-time,No,Yes,Home,0
37132,21909,825,9.23,PhD,Self-employed,Yes,Yes,Education,0
36646,158304,408,9.98,PhD,Full-time,Yes,No,Home,0
25299,42578,720,21.44,Bachelor's,Self-employed,No,No,Other,0
27857,88798,639,8.7,PhD,Part-time,No,Yes,Other,1
20069,173742,797,7.99,High School,Full-time,No,No,Home,0
138401,56360,530,12.81,Master's,Part-time,Yes,No,Home,0
32594,165610,848,11.22,PhD,Part-time,No,Yes,Education,1
123810,56920,829,8.88,PhD,Self-employed,No,Yes,Education,0
55997,47289,541,8.05,PhD,Unemployed,Yes,Yes,Auto,0
104495,20773,433,4.12,Bachelor's,Full-time,No,No,Other,1
141907,67935,427,16.67,High School,Self-employed,No,No,Home,0
102490,192063,655,24.97,High School,Part-time,No,Yes,Auto,0
48731,96726,361,5.9,PhD,Unemployed,No,No,Business,0
132444,231700,449,12.39,Bachelor's,Unemployed,No,Yes,Other,0
20516,61751,656,11.18,Master's,Self-employed,No,Yes,Auto,0
119468,106053,446,22.39,Master's,Self-employed,Yes,Yes,Other,0
58312,86144,544,17.71,PhD,Unemployed,Yes,Yes,Business,0
67918,152197,350,11.08,PhD,Part-time,Yes,Yes,Education,0
